Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C1_MK2436,Bombali,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4226,Kambia,02-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0531R,Bombali,26-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18596_EMLH,WesternUrban,05-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_PL4190,PortLoko,01-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12767_EMLH,WesternUrban,04-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77710_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_442_EMLH,WesternUrban,26-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0367R,Bombali,21-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_505_EMLH,WesternUrban,31-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C1_MK2427,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL5019,PortLoko,19-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0106_C2_KT2449,WesternUrban,05-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C2_MK2334,Unknown,23-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77696_EMLK,WesternUrban,09-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C1_MK0849R,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14549_EMLK,WesternUrban,15-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_75708_EMLH,WesternRural,15-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_567_EMLH,Unknown,03-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4125,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4126,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4121,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4123,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_10025_EMLK,WesternUrban,19-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10278_EMLK,WesternUrban,03-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_14748_EMLK,Kambia,19-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77577_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL7689,PortLoko,06-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77756_EMLK,WesternUrban,12-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL3984,PortLoko,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_KT4801,Unknown,10-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_473_EMLH,Unknown,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_PL9192c,PortLoko,13-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL8172,PortLoko,18-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_14888_EMLK,Kambia,03-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7820,PortLoko,09-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_12112_EMLH,WesternUrban,18-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C2_MK1888,Unknown,09-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_MK1079,Bombali,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18636_EMLH,Unknown,08-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10244_EMLK,Unknown,02-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7709,PortLoko,06-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_361_EMLH,WesternUrban,21-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL7947,PortLoko,12-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL7946,PortLoko,12-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0888,Unknown,06-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0889,Unknown,06-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_18638R_EMLH,WesternUrban,08-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5320,WesternUrban,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_15438R_EMLK,Kambia,14-Jun-2015
